home_team,away_team,game_id,season,date,pts_H,pts_A,winner,playoff,fg_pct_A,fg3_pct_A,ft_pct_A,reb_A,tot_ast_A,tot_tov_A,tot_stl_A,tot_blk_A,ts_pct_A,w_pct_A,w_pct_last_5_games_A,fg_pct_H,fg3_pct_H,ft_pct_H,reb_H,tot_ast_H,tot_tov_H,tot_stl_H,tot_blk_H,ts_pct_H,w_pct_H,w_pct_last_5_games_H,off_rating_A,def_rating_A,off_rating_H,def_rating_H,lineup_efficiency_A,lineup_efficiency_H,referee_name,referee_id
GSW,LAL,0042200231,2022-23,2023-05-02,112,117,away,True,0.4632352941176471,0.30952380952380953,0.8,298,148,80,42,55,0.5597139055222887,0.667,0.6,0.453416149068323,0.3275862068965517,0.75,325,189,96,62,39,0.5620703038367708,0.571,0.6,110.95505617977528,103.93258426966293,111.47342995169083,110.26570048309179,19.285128036093106,16.084884559884557,Marc Davis,1830
GSW,LAL,0042200232,2022-23,2023-05-04,127,100,home,True,0.4638364779874214,0.3021276595744681,0.8113207547169812,351,172,88,46,65,0.5595217859368803,1.0,0.6,0.44666666666666666,0.33819241982507287,0.7527472527472527,374,219,104,67,42,0.5559705088666153,0.0,0.8,109.33660933660934,106.5110565110565,112.90322580645163,108.92473118279571,19.156767920223725,13.97659534170053,Tony Brothers,1146
LAL,GSW,0042200233,2022-23,2023-05-06,127,97,home,True,0.4532544378698225,0.35584415584415585,0.7424242424242424,429,257,119,69,45,0.5632322018624212,0.5,0.6,0.4589041095890411,0.30111524163568776,0.7897727272727273,391,199,97,55,68,0.551124541761617,0.5,0.8,111.35922330097088,110.57225994180406,111.14754098360655,105.47045951859957,13.89170139617283,19.152621687378126,Bill Kennedy,1662
LAL,GSW,0042200234,2022-23,2023-05-08,104,101,home,True,0.44764957264957267,0.34965034965034963,0.7395348837209302,471,283,138,74,51,0.5564719580826704,0.333,0.6,0.4654320987654321,0.32,0.784037558685446,435,226,109,65,74,0.5626742796441375,0.667,0.6,110.73646850044365,110.18600531443757,110.66140177690029,105.3412462908012,14.10682551099922,16.939500739500737,Scott Foster,1162
GSW,LAL,0042200235,2022-23,2023-05-10,121,106,home,True,0.4642857142857143,0.31384615384615383,0.8025751072961373,477,247,123,73,75,0.5613307695389176,0.75,0.6,0.449119373776908,0.3446808510638298,0.7400881057268722,511,312,154,83,53,0.5562092202374584,0.25,0.4,110.14362657091561,106.55884995507637,111.39137510170872,109.75609756097562,19.039487895483592,14.206354595710337,Zach Zarba,2534
LAL,GSW,0042200236,2022-23,2023-05-12,122,101,home,True,0.4542190305206463,0.3465346534653465,0.7520661157024794,559,341,168,91,58,0.5608449134766649,0.4,0.4,0.4659206510681587,0.3181818181818182,0.8024193548387096,515,271,137,79,79,0.5617514558839688,0.6,0.8,110.94339622641509,111.0943396226415,111.57981803143093,106.4516129032258,14.054024161520388,18.448612224110978,Courtney Kirkland,2004
HOU,MEM,0022200024,2022-23,2022-10-21,122,129,away,False,0.3888888888888889,0.34,0.6086956521739131,64,27,13,6,7,0.48679309177108027,1.0,0.0,0.42857142857142855,0.2571428571428571,0.9333333333333333,54,25,15,4,3,0.511472275334608,0.0,0.0,116.7464114832536,111.96172248803829,109.56937799043062,118.26923076923077,17.1,11.4,Bill Kennedy,1662
MIL,HOU,0022200033,2022-23,2022-10-22,125,105,home,False,0.450261780104712,0.35714285714285715,0.7111111111111111,99,43,29,8,9,0.5431688804554079,0.0,0.0,0.40476190476190477,0.30952380952380953,0.6428571428571429,48,24,12,4,6,0.49911268855368235,1.0,0.0,108.44155844155846,120.84690553745929,110.82474226804125,99.48453608247422,11.933333333333334,13.7,JB DeRosa,1155
HOU,UTA,0022200048,2022-23,2022-10-24,114,108,home,False,0.4589041095890411,0.3888888888888889,0.75,141,95,48,34,15,0.5761002444987775,1.0,0.6666666666666666,0.4295774647887324,0.38317757009345793,0.7313432835820896,146,63,41,17,15,0.5327293607247671,0.0,0.0,114.11764705882352,108.68544600938968,109.80392156862746,117.98029556650246,14.75,11.483333333333334,Eric Lewis,2715
UTA,HOU,0022200063,2022-23,2022-10-26,109,101,home,False,0.42780748663101603,0.36619718309859156,0.7676767676767676,193,80,56,24,22,0.5364498515183447,0.25,0.0,0.4623376623376623,0.379746835443038,0.71875,190,118,68,42,25,0.5675966669787473,0.75,0.75,106.3953488372093,114.1747572815534,111.23595505617978,105.61797752808988,11.45,14.24,John Goble,101284
